Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
"Population, total",SP.POP.TOTL,Albania,ALB,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035
"Population, total",SP.POP.TOTL,Andorra,AND,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
"Population, total",SP.POP.TOTL,Angola,AGO,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
"Population, total",SP.POP.TOTL,Argentina,ARG,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
"Population, total",SP.POP.TOTL,Australia,AUS,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031
"Population, total",SP.POP.TOTL,Benin,BEN,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
"Population, total",SP.POP.TOTL,Bhutan,BTN,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154
"Population, total",SP.POP.TOTL,Chad,TCD,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683
"Population, total",SP.POP.TOTL,Chile,CHL,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,China,CHN,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249
"Population, total",SP.POP.TOTL,Croatia,HRV,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000
"Population, total",SP.POP.TOTL,Cuba,CUB,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372
"Population, total",SP.POP.TOTL,Curacao,CUW,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188
"Population, total",SP.POP.TOTL,Czechia,CZE,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557
